-92,0,27,-2,-1,0,-92,0,26,-1,0,0,-92,5,24,-1,0,0,-60,-10,79,-7,-3,0,-62,-10,78,-8,-2,0,-63,-9,79,-8,-2,-1,-64,19,70,-3,1,1,-63,19,71,-3,2,2,-66,21,73,-3,3,2,1
-81,-20,53,-2,0,-2,-82,-22,54,-1,-1,-1,-81,-21,53,-1,0,-1,-88,11,32,-8,-2,0,-92,7,31,-6,-2,0,-95,6,30,-6,-1,0,-82,16,50,0,1,1,-84,15,47,0,1,1,-85,17,48,0,0,1,4
-84,-18,48,-1,0,0,-85,-17,50,-1,0,0,-84,-17,50,-1,0,0,-96,4,38,-6,-1,-1,-95,1,38,-7,-3,-1,-90,4,39,-8,-2,0,-85,12,44,0,0,1,-86,9,46,0,0,0,-88,10,48,0,1,0,4
-84,-19,47,-1,0,-1,-83,-18,48,-1,0,-1,-84,-16,47,0,0,-1,-87,0,35,-8,-3,0,-92,3,35,-7,-2,0,-95,5,34,-6,-2,0,-84,13,50,0,1,0,-83,14,50,0,1,0,-83,14,50,0,0,0,4
-90,8,35,-2,-1,-2,-89,7,38,-3,-1,-1,-91,5,37,-3,0,-1,-79,-12,64,-7,-2,0,-74,-13,64,-7,-2,0,-73,-14,66,-6,-2,0,-80,7,56,-4,3,1,-77,5,60,-2,3,2,-81,8,62,-3,3,2,2
-90,9,44,0,1,-1,-90,8,43,0,0,-1,-89,9,40,-1,0,-1,-79,-20,61,-7,-4,-1,-77,-19,61,-5,-3,-1,-76,-14,61,-5,-3,0,-87,10,54,-1,0,2,-87,9,61,-2,1,3,-83,7,65,-4,0,3,2
-88,9,47,0,0,-1,-88,6,45,-1,0,-1,-89,2,44,-1,0,-1,-77,-13,60,-7,-2,0,-78,-8,60,-5,-2,0,-81,-10,60,-6,-3,0,-87,1,61,-2,1,1,-83,7,51,-3,1,1,-80,13,51,-3,1,1,2
-88,31,21,0,0,0,-88,29,21,-1,0,0,-89,27,19,-1,0,0,-68,-11,75,-8,-3,-1,-70,-14,77,-7,-3,-1,-68,-10,75,-7,-3,0,-84,-17,62,-3,2,2,-78,-17,63,-3,3,2,-79,-16,66,-3,3,2,3
-93,0,29,-1,0,-1,-91,-1,29,-1,0,-1,-89,1,29,-1,0,-1,-68,-8,79,-7,-3,-1,-66,-8,78,-7,-2,-1,-57,-17,78,-8,-3,-1,-62,15,76,-3,2,3,-60,12,77,-3,2,3,-62,11,71,-3,1,2,1
-87,33,17,-1,0,-1,-86,34,15,0,0,-1,-86,35,12,0,0,-1,-65,-22,79,-7,-2,0,-67,-18,78,-7,-2,0,-64,-21,77,-6,-2,0,-79,-24,65,-3,2,2,-78,-23,69,-2,3,1,-74,-24,65,-3,3,2,3
-83,-16,49,-2,0,-1,-84,-17,49,-1,0,-1,-85,-17,50,0,0,0,-94,10,40,-8,-2,0,-91,9,40,-8,-2,0,-88,9,40,-7,-2,0,-80,14,53,0,1,1,-80,17,52,0,1,1,-81,15,55,0,1,1,4
-89,9,43,-1,-1,-1,-90,8,44,0,0,0,-88,9,44,-1,0,0,-83,-19,60,-5,-1,0,-83,-24,61,-7,-2,0,-75,-21,60,-8,-3,0,-83,10,50,-3,4,1,-82,11,51,-3,4,2,-82,7,54,-2,3,2,2
-87,7,43,-1,-1,-1,-88,9,44,0,0,-1,-89,10,45,-1,0,-1,-81,-12,60,-8,-4,0,-78,-13,59,-7,-4,0,-78,-14,57,-6,-3,0,-81,1,50,-3,2,1,-90,14,52,-3,2,1,-90,12,49,-2,1,2,2
-87,6,48,-1,0,0,-86,8,43,0,1,0,-85,9,42,0,1,-1,-79,-19,57,-6,-3,0,-78,-22,58,-7,-3,0,-79,-16,61,-7,-3,0,-80,3,52,-2,0,2,-82,6,54,-2,1,2,-83,11,59,-3,1,2,2
-93,4,28,0,0,0,-89,4,27,0,0,-1,-89,3,27,-1,-1,-1,-68,-13,76,-8,-3,0,-67,-15,77,-8,-2,0,-66,-12,77,-7,-1,0,-69,9,76,-3,3,2,-67,13,78,-3,3,3,-69,14,73,-3,3,2,1
-88,34,13,-1,0,-2,-88,35,14,-1,0,-1,-88,36,11,-1,0,-1,-61,-18,78,-5,-2,0,-60,-23,77,-7,-3,0,-59,-26,78,-7,-3,0,-77,-26,73,-1,2,1,-78,-23,61,-2,2,0,-76,-23,66,-3,2,1,3
-94,1,23,-2,0,-1,-97,0,26,-1,0,-1,-96,0,28,-1,-1,-1,-59,-10,78,-7,-2,0,-63,-13,80,-7,-2,0,-67,-14,80,-8,-2,0,-68,11,74,-4,3,2,-71,14,75,-3,3,3,-65,15,73,-3,3,2,1
-88,32,17,-1,0,0,-88,32,17,0,0,0,-89,31,18,0,0,0,-61,-17,81,-6,-2,-1,-66,-16,80,-6,-2,-1,-73,-15,79,-6,-3,0,-72,-25,160,-3,1,1,-72,-26,152,-2,1,1,-72,-27,128,0,0,1,3
-89,10,43,-1,-1,0,-89,10,42,-1,0,0,-91,8,44,-2,0,0,-82,-19,59,-9,-1,0,-82,-19,59,-8,-2,0,-83,-13,59,-5,-1,0,-85,1,61,-2,3,2,-86,1,61,-3,3,1,-87,3,62,-2,3,2,2
-90,9,48,-2,0,0,-89,10,47,-2,0,0,-90,12,42,-1,0,0,-82,-13,57,-8,-2,0,-80,-16,56,-7,-2,0,-82,-17,56,-6,-2,0,-92,0,53,-4,3,2,-90,8,51,-3,2,2,-84,10,51,-3,2,3,2
-92,8,30,0,0,-1,-91,8,29,0,0,-1,-91,7,29,-1,0,-1,-67,-16,78,-6,-2,0,-67,-14,77,-7,-3,0,-67,-15,76,-8,-4,0,-70,14,73,-3,3,3,-71,12,74,-2,2,2,-72,15,75,-2,0,2,1
-84,4,47,0,0,0,-86,6,47,-1,0,0,-90,5,46,-2,0,-1,-82,-16,59,-7,-3,0,-81,-19,60,-7,-3,0,-80,-21,59,-8,-4,0,-82,16,55,-2,2,2,-82,15,51,-2,2,2,-82,7,50,-2,2,1,2
-92,0,20,-1,1,-1,-91,0,20,-2,1,0,-91,1,21,-1,0,0,-60,-13,80,-7,-3,-1,-58,-17,82,-8,-3,0,-61,-15,83,-8,-2,-1,-60,21,80,-3,2,1,-59,16,76,-3,1,1,-57,10,79,-4,2,2,1
-81,-21,56,-1,0,-1,-80,-21,52,-1,0,-1,-81,-22,52,0,0,0,-94,11,30,-7,-2,-1,-94,13,31,-8,-2,-1,-92,12,31,-8,-2,0,-85,18,56,0,1,1,-85,18,56,0,0,1,-84,18,54,0,0,0,4
-88,-18,37,0,0,-1,-88,-19,37,-1,0,-1,-88,-19,37,-1,0,-1,-87,11,50,-8,-2,0,-91,13,49,-8,-2,0,-83,12,50,-6,-3,-1,-69,28,59,-1,1,1,-69,30,58,0,1,1,-70,33,57,0,1,0,4
-88,31,17,-1,0,-1,-88,30,16,-2,0,-1,-88,31,15,0,0,-1,-65,-16,73,-7,-2,0,-65,-17,74,-8,-3,0,-65,-21,76,-8,-3,0,-77,-14,65,-3,2,2,-76,-19,65,-3,2,2,-75,-23,65,-1,1,1,3
-90,2,25,-1,1,0,-92,0,26,-1,1,-1,-93,2,26,-1,1,-1,-62,-14,79,-8,-3,0,-62,-10,79,-8,-3,0,-62,-12,81,-7,-3,0,-66,17,81,-3,2,1,-64,17,79,-4,2,2,-64,18,75,-4,2,1,1
-89,29,17,-1,0,-1,-89,29,17,-1,0,0,-89,29,19,-1,0,0,-73,-20,76,-6,-3,0,-67,-18,76,-7,-2,0,-65,-15,74,-8,-3,-1,-82,-31,60,-4,4,1,-78,-24,65,-3,3,2,-76,-20,70,-2,2,2,3
-90,4,25,-1,0,-2,-88,5,27,-1,1,-3,-89,2,25,-1,0,-3,-56,-19,78,-4,-3,0,-63,-19,78,-5,-3,0,-67,-13,79,-6,-3,0,-67,15,72,-2,2,2,-70,17,73,-2,1,2,-74,19,75,-2,1,2,1
-88,31,16,-2,0,0,-89,32,16,-1,0,0,-88,32,15,-1,0,0,-66,-12,75,-8,-3,0,-65,-12,76,-7,-3,0,-70,-15,77,-7,-3,-1,-81,-23,59,-4,3,1,-78,-22,61,-4,2,1,-74,-27,66,-3,2,1,3
-88,6,42,0,0,-1,-86,5,46,0,0,-2,-84,4,47,0,0,-2,-77,-14,63,-6,-2,0,-77,-11,63,-6,-2,-1,-80,-7,61,-7,-2,-1,-83,6,55,-2,3,2,-84,4,58,-2,2,3,-81,5,58,-2,2,2,2
-90,3,48,-1,-1,-1,-91,2,48,-1,-1,0,-88,4,44,-1,-1,0,-80,-14,58,-7,-2,0,-76,-14,58,-7,-2,0,-77,-12,59,-7,-2,0,-82,13,58,-2,1,1,-87,12,56,-2,2,1,-85,10,61,-3,3,2,2
-83,-20,46,-1,-1,-1,-83,-19,47,-1,0,-1,-85,-17,48,-1,0,0,-91,9,38,-7,-3,-1,-89,12,36,-8,-3,-1,-92,10,35,-8,-4,0,-86,14,49,0,1,1,-86,14,47,0,0,0,-87,13,46,0,0,0,4
-88,33,15,0,0,-1,-87,34,16,-1,0,-1,-88,35,15,0,0,0,-64,-22,77,-9,-3,0,-64,-21,77,-7,-4,0,-65,-18,76,-7,-3,0,-78,-21,61,-3,2,1,-74,-24,65,-2,2,3,-74,-20,68,0,1,2,3
-91,28,14,-1,0,-1,-89,29,13,0,0,-1,-88,29,13,0,0,0,-68,-11,73,-6,-2,-1,-66,-9,77,-8,-3,-2,-63,-9,78,-7,-3,-1,-79,-11,72,-3,2,2,-76,-17,75,-3,2,2,-73,-20,72,-4,2,2,3
-87,34,16,0,1,-1,-87,32,15,-1,1,-2,-88,32,15,-1,0,-2,-63,-18,76,-6,-3,0,-60,-15,78,-7,-3,0,-61,-17,81,-7,-3,0,-71,-25,119,-3,3,1,-71,-26,106,0,2,2,-73,-27,93,0,2,1,3
-85,37,14,0,0,0,-85,36,13,0,0,0,-87,36,14,0,0,-1,-58,-20,79,-5,-2,0,-55,-15,79,-6,-2,0,-58,-16,77,-7,-2,-1,-76,-23,68,-3,1,1,-77,-21,68,-3,2,2,-76,-19,67,-3,2,2,3
-92,1,24,-1,-1,0,-92,1,25,-1,0,0,-91,-1,27,-2,-1,0,-62,-11,79,-6,-2,-1,-66,-14,81,-7,-2,-1,-68,-15,81,-8,-2,-1,-68,17,75,-3,3,2,-65,16,73,-3,3,3,-69,12,78,-3,3,2,1
-92,3,27,-1,0,-1,-94,3,26,-2,0,-1,-91,0,23,-2,0,0,-69,-16,80,-5,-3,0,-69,-12,78,-8,-4,-1,-68,-8,76,-8,-4,-1,-66,22,77,-3,2,1,-63,17,74,-4,3,2,-65,11,72,-4,3,2,1
-90,27,18,-1,0,0,-87,28,19,0,0,0,-88,28,17,-1,0,0,-67,-11,73,-7,-2,0,-71,-13,71,-7,-2,0,-71,-10,74,-7,-2,0,-71,-20,66,-2,2,2,-71,-22,71,-3,3,2,-79,-15,70,-4,3,2,3
-93,9,28,0,0,-1,-93,7,30,0,-1,-1,-95,5,27,0,-1,-1,-62,-15,76,-6,-2,0,-62,-10,77,-8,-2,0,-66,-14,77,-7,-3,0,-68,15,73,-2,2,1,-65,14,76,-3,3,2,-62,10,75,-4,3,2,1
-90,8,42,0,0,-1,-90,6,42,-1,0,-1,-89,8,44,-1,0,0,-82,-16,60,-6,-4,0,-87,-17,59,-7,-4,0,-80,-17,60,-7,-4,0,-87,3,56,-3,1,1,-85,4,57,-3,0,1,-87,6,60,-3,0,2,2
-90,12,40,-1,0,-1,-91,11,43,0,0,-1,-91,6,45,0,0,-1,-83,-14,61,-9,-4,-2,-83,-16,61,-8,-3,-2,-83,-17,61,-7,-3,-1,-84,4,58,-3,2,2,-82,3,60,-3,2,2,-79,3,58,-3,2,2,2
