-96,6,21,-13,0,1,-91,5,25,-14,-1,1,-91,8,23,-14,-1,2,-61,-9,76,-14,-10,9,-61,-9,77,-15,-11,9,-61,-12,79,-16,-12,10,-69,13,76,-12,4,17,-69,12,79,-12,3,17,-74,13,78,-12,3,16,1
-93,1,21,-1,-1,0,-94,5,22,-2,0,0,-93,4,22,-2,0,0,-61,-16,77,-7,-3,-1,-60,-21,76,-5,-3,0,-63,-17,77,-6,-2,0,-65,20,75,-2,2,2,-64,22,75,-2,1,2,-60,22,75,-2,2,2,2
-92,-5,11,-3,-5,0,-93,-1,12,-4,-4,-1,-94,2,13,-3,-6,-1,-58,-15,84,-9,-1,1,-60,-17,83,-9,-1,0,-60,-12,83,-7,-1,0,-66,9,76,-2,2,1,-63,13,75,-2,2,1,-60,16,74,-3,2,1,2
-85,6,16,-24,-3,3,-80,4,14,-25,-3,3,-82,5,14,-26,-2,4,-66,-18,73,-20,-1,10,-64,-23,72,-20,-1,11,-62,-25,72,-19,0,11,-68,8,68,-14,-2,11,-63,6,69,-15,-2,12,-64,2,67,-15,-2,12,1
-94,0,19,0,1,0,-96,0,19,0,1,0,-93,4,22,-1,1,0,-64,-13,83,-5,-3,-2,-60,-12,84,-6,-4,-3,-60,-9,87,-6,-4,-3,-62,14,76,-2,0,0,-62,16,83,-1,0,0,-54,15,85,-2,0,0,2
-117,5,-12,-4,3,-2,-115,3,-10,-5,2,-2,-115,0,-10,-6,2,-1,-91,-3,115,-7,-16,-3,-92,-2,113,-4,-16,-2,-89,-6,113,-5,-17,-2,-66,27,107,-1,-24,0,-64,28,104,-1,-24,1,-66,28,101,-2,-24,1,1
-97,-4,4,-2,-3,0,-99,-5,5,-1,-4,0,-98,-3,4,-2,-4,0,-60,-11,82,-9,-3,-1,-56,-12,82,-8,-3,-1,-60,-9,83,-7,-2,-1,-65,10,77,-2,2,1,-66,10,82,-3,2,0,-64,15,82,-2,3,0,2
-91,2,14,-28,-6,1,-88,0,14,-29,-6,1,-86,0,12,-28,-7,1,-53,-21,76,-27,-19,25,-58,-21,78,-26,-18,25,-61,-18,81,-25,-19,25,-73,17,106,-16,-2,29,-79,19,104,-16,-2,28,-81,19,103,-16,-3,28,1
-93,-4,25,4,-4,-5,-94,0,20,4,-4,-5,-100,2,18,3,-5,-5,-61,0,57,2,-8,-3,-57,-2,57,1,-8,-3,-57,-2,56,0,-8,-5,-70,24,56,7,0,-4,-69,29,55,6,-1,-4,-64,29,53,4,0,-5,1
-115,45,12,3,7,-4,-117,45,15,3,7,-4,-118,40,15,3,6,-4,-54,-20,67,-4,35,-33,-57,-20,68,-6,36,-33,-64,-21,69,-7,35,-34,-80,13,64,13,22,-21,-80,18,62,12,23,-22,-81,17,63,14,23,-22,1
-88,18,15,40,-21,-2,-91,18,20,42,-21,-2,-89,17,15,44,-21,-2,-65,-20,61,14,8,-21,-71,-15,63,14,8,-20,-78,-20,63,13,8,-19,-54,0,71,4,4,-8,-56,-2,72,5,3,-8,-53,-6,70,5,2,-9,1
-117,28,19,1,19,3,-113,29,21,2,18,2,-110,26,22,3,18,3,-62,-23,82,22,-20,-22,-61,-26,81,21,-20,-22,-61,-19,78,20,-19,-23,-75,11,62,36,3,-42,-76,15,62,38,3,-42,-79,15,64,37,3,-43,1
-103,0,16,0,-11,-1,-99,1,18,0,-11,-1,-99,0,18,1,-9,-1,-48,-13,69,0,-2,-3,-50,-11,67,0,-3,-3,-53,-7,68,-2,-3,-4,-57,9,64,4,10,-3,-57,9,64,5,9,-3,-61,12,65,4,9,-2,1
-77,17,27,-12,-5,-1,-79,14,28,-11,-6,-1,-81,14,29,-11,-6,0,-64,-11,60,-38,23,16,-67,-13,60,-36,24,16,-65,-13,62,-38,24,16,-78,14,72,-29,4,21,-81,12,75,-29,3,20,-84,17,75,-28,2,20,1
-90,0,10,-30,-6,4,-95,3,13,-31,-6,5,-94,4,17,-31,-5,5,-53,-20,79,-26,-7,18,-49,-18,79,-27,-7,18,-50,-14,78,-28,-7,17,-78,14,65,-15,4,10,-76,10,71,-16,5,10,-76,14,72,-15,6,10,1
-96,2,7,0,-1,0,-96,5,10,-1,0,0,-95,5,15,-3,0,0,-61,-15,86,-8,-2,0,-62,-13,87,-7,-2,0,-57,-8,87,-8,-3,0,-54,7,82,-3,2,1,-57,11,76,-3,2,1,-57,16,80,-3,2,2,2
