91,4,63,0,-1,0,90,7,63,-2,0,-1,88,6,67,-3,0,-2,-90,-4,38,-8,-3,0,-92,-10,38,-8,-4,0,-91,-15,38,-8,-3,0,-90,11,44,-1,-3,3,-90,11,44,-1,-3,2,-91,10,42,-1,-3,2,90,5,63,-1,-1,-1,93,4,62,-1,-1,0,91,4,64,-3,-1,0,-96,-4,38,-7,-3,0,-94,0,40,-7,-3,0,-92,-3,40,-7,-4,0,-89,11,45,-1,-3,3,-94,11,47,-1,-3,3,-94,12,42,-2,-3,1,91,2,65,0,-1,0,90,2,64,0,-1,0,89,3,67,-1,-1,0,-86,-1,38,-9,-4,0,-89,-2,37,-8,-4,0,-90,-7,36,-7,-3,-1,-87,7,39,-2,-3,1,-90,6,41,-1,-3,1,-89,5,44,-1,-3,1,93,3,67,-2,-1,0,92,4,65,-2,-1,0,88,3,64,-1,-2,0,-92,-4,39,-7,-2,0,-92,-4,39,-7,-3,0,-90,-4,39,-7,-3,0,-93,11,43,-2,-4,2,-86,9,44,-2,-3,3,-84,8,44,-2,-3,2,1
102,9,35,0,0,0,102,7,33,-1,0,0,102,5,34,-2,0,-1,-70,-13,75,-7,-2,0,-67,-7,74,-7,-3,-1,-68,-12,73,-7,-3,-1,-72,10,78,-2,-2,3,-69,6,79,-1,-2,2,-70,11,79,-1,-2,2,104,6,32,0,0,0,103,8,34,-1,-1,0,103,7,35,-2,0,-1,-64,-10,74,-7,-3,0,-67,-14,73,-7,-3,0,-69,-11,74,-9,-3,0,-71,11,75,-1,-2,2,-71,11,75,-1,-3,2,-65,12,77,-1,-3,1,102,9,34,0,0,0,101,8,35,-1,0,0,100,5,34,-1,0,-1,-71,-6,73,-7,-2,0,-71,-3,71,-7,-3,0,-69,-5,71,-7,-3,0,-67,9,77,-2,-4,1,-68,8,76,-2,-3,1,-68,8,76,-2,-3,1,102,6,35,-1,0,-1,103,6,34,-1,0,0,101,9,33,0,0,-1,-76,-14,73,-7,-3,-1,-80,-14,73,-7,-2,0,-73,-16,72,-6,-3,0,-67,10,79,-1,-3,2,-67,10,79,-1,-3,1,-67,10,76,0,-3,1,1
87,2,69,-2,0,0,89,5,69,-1,0,0,87,7,70,-1,0,-1,-90,-4,33,-8,-4,-1,-91,-10,34,-6,-3,-1,-92,-6,35,-6,-2,0,-95,9,40,-2,-4,2,-95,9,40,-1,-4,3,-95,9,40,-1,-4,3,88,3,68,-2,-1,0,86,4,69,-1,-1,0,86,4,68,-1,-1,0,-96,-6,34,-7,-3,0,-95,-5,33,-7,-3,0,-94,-9,33,-7,-3,0,-87,13,40,-1,-4,3,-92,11,37,-1,-4,3,-93,10,37,-1,-3,2,85,1,70,0,0,-1,86,2,66,0,-1,-1,90,4,68,-1,-1,-1,-94,-10,35,-8,-3,0,-92,-10,34,-9,-5,0,-94,-11,31,-10,-5,0,-89,10,43,-2,-4,1,-89,10,38,-1,-4,1,-89,10,38,-1,-4,1,84,4,70,0,-1,0,85,4,71,-1,-1,-1,86,4,72,-2,-1,-1,-95,-5,34,-8,-4,0,-92,-4,34,-8,-3,0,-94,0,34,-8,-2,0,-94,10,45,-2,-5,0,-92,6,42,-2,-5,0,-92,6,42,-2,-3,1,1
99,5,31,-2,0,0,100,5,33,-1,0,0,100,2,32,0,0,0,-67,-11,77,-8,-3,-1,-69,-16,78,-8,-3,0,-63,-13,75,-6,-3,0,-63,10,77,-1,-2,1,-64,11,76,-1,-3,2,-68,12,77,-2,-2,3,103,4,29,-2,-1,0,103,4,31,-2,0,0,106,8,31,-2,-1,0,-68,-12,77,-7,-4,0,-67,-12,78,-8,-4,-1,-69,-11,77,-8,-3,0,-63,13,80,-1,-2,3,-66,13,79,-2,-2,3,-69,9,78,-1,-3,1,100,4,28,-2,-1,-1,99,7,29,-2,-1,0,100,7,30,-1,0,0,-71,-8,77,-6,-2,0,-72,-11,76,-6,-2,0,-68,-12,76,-7,-2,-1,-67,9,80,-1,-4,2,-66,8,80,-1,-4,2,-69,6,78,0,-3,2,102,7,29,-1,-1,0,103,7,28,-2,0,0,106,7,29,-2,0,-1,-67,-12,77,-8,-3,0,-65,-10,77,-7,-3,0,-64,-12,77,-6,-2,-1,-69,15,78,-1,-1,1,-66,15,77,-1,-2,0,-65,11,73,-1,-3,0,2
102,8,34,-2,-1,0,102,7,32,-2,-1,-1,101,8,32,-2,-2,-2,-66,-9,77,-8,-3,0,-68,-12,76,-8,-3,0,-69,-11,76,-9,-4,0,-67,7,76,-1,-2,1,-64,9,75,-2,-4,1,-64,13,75,-3,-4,1,101,4,33,-1,0,-1,104,6,33,-1,0,-1,103,10,32,0,0,-1,-70,-9,74,-6,-2,0,-75,-9,73,-8,-2,0,-70,-14,74,-9,-3,0,-70,10,78,-2,-5,2,-71,12,77,-2,-4,2,-66,14,77,-2,-3,1,102,5,33,-2,-1,-1,104,7,32,-2,-1,0,103,7,32,0,-1,0,-72,-8,76,-6,-4,0,-72,-8,76,-7,-4,0,-74,-5,74,-7,-3,0,-65,13,77,-2,-4,1,-65,12,80,-1,-3,0,-67,10,76,-2,-3,1,103,8,35,-2,0,-1,105,6,35,-1,-1,-1,106,7,35,-1,-1,0,-66,-3,74,-8,-3,0,-70,-3,74,-8,-3,0,-63,-9,74,-7,-3,-1,-68,9,79,-1,-4,0,-65,9,75,-1,-4,0,-61,12,74,-2,-4,2,1
104,4,26,-1,0,-1,105,4,24,-1,0,0,104,4,25,-1,0,0,-62,-14,77,-8,-2,-1,-62,-13,76,-8,-2,-1,-61,-15,78,-7,-2,0,-68,15,79,-1,-3,1,-65,16,75,-1,-2,1,-63,14,75,-2,-2,1,105,4,27,-1,0,0,103,6,28,-1,0,0,101,6,28,-1,0,0,-72,-13,76,-7,-2,0,-69,-13,75,-7,-2,0,-67,-8,76,-6,-2,0,-61,13,76,-2,-2,0,-63,12,78,-2,-2,2,-64,11,75,-2,-2,1,102,9,27,-2,0,-1,105,5,26,-1,0,0,106,9,27,-1,0,0,-65,-14,76,-8,-3,0,-67,-12,75,-7,-2,0,-68,-14,76,-6,-2,0,-60,12,79,-1,-2,2,-65,18,77,0,-2,3,-70,14,77,0,-3,3,108,7,29,-2,0,0,107,5,28,-1,0,0,106,4,27,-1,0,-1,-69,-13,75,-7,-2,0,-74,-13,77,-6,-2,0,-71,-17,77,-7,-2,0,-69,14,78,-1,-2,2,-65,14,80,-1,-3,2,-68,11,78,-1,-3,2,1
101,7,34,-2,0,-2,99,8,37,-2,0,-1,101,5,34,-1,0,0,-68,-10,75,-8,-2,0,-70,-16,76,-8,-3,-1,-65,-16,75,-7,-3,0,-62,13,78,-1,-2,1,-67,13,79,-1,-1,0,-70,11,78,-1,-2,1,101,5,32,0,0,0,101,3,33,0,0,0,100,4,37,-1,0,0,-67,-15,75,-6,-2,0,-67,-16,75,-6,-2,-1,-70,-16,75,-8,-2,-1,-66,13,77,-2,-2,3,-71,9,75,-2,-1,2,-68,7,77,-1,-1,2,102,8,31,-1,0,0,100,7,32,0,0,0,100,7,34,-1,0,-1,-65,-14,74,-6,-3,0,-67,-10,73,-6,-2,0,-68,-11,71,-6,-2,0,-67,12,76,0,-2,0,-65,8,78,0,-2,2,-63,6,78,-2,-2,2,100,9,34,-1,0,-1,103,10,33,-1,0,-1,101,7,31,-1,0,-1,-69,-10,72,-6,-2,-1,-70,-11,74,-6,-2,0,-69,-12,74,-8,-2,0,-63,11,79,-2,-2,2,-70,12,80,-2,-1,2,-68,11,81,-1,-2,2,1
101,7,29,-2,0,-1,100,3,28,-2,0,-1,102,5,30,-2,0,0,-68,-13,76,-7,-3,-1,-63,-16,76,-9,-3,0,-65,-15,75,-8,-3,0,-65,8,76,-2,-4,3,-64,9,78,-3,-3,2,-60,13,78,-2,-4,1,99,5,29,0,0,-1,98,5,30,-1,0,0,98,3,29,-2,0,0,-68,-14,75,-8,-2,0,-61,-12,77,-8,-3,0,-61,-13,79,-8,-3,0,-66,13,79,-2,-3,1,-62,12,77,-1,-4,1,-61,8,76,-1,-3,2,103,3,28,-1,0,0,102,4,25,-1,0,1,102,5,26,-2,0,0,-68,-16,78,-6,-3,0,-65,-13,77,-7,-3,-1,-66,-11,76,-8,-3,0,-66,8,83,-2,-3,2,-60,7,77,-1,-4,2,-60,10,76,-1,-3,1,102,4,26,-1,0,-1,103,7,25,0,0,-1,104,6,26,0,-1,0,-64,-13,76,-6,-2,0,-67,-18,78,-5,-3,0,-66,-15,76,-7,-4,0,-58,10,80,-1,-3,2,-62,12,80,0,-2,2,-59,13,81,-1,-3,2,1
100,5,27,-2,-1,-1,102,7,28,-2,-1,0,102,9,28,-1,0,0,-62,-13,81,-8,-2,-1,-62,-12,79,-8,-3,-1,-65,-14,76,-7,-2,0,-69,14,81,-2,-4,2,-66,17,79,-2,-4,1,-61,14,75,-2,-4,0,101,9,28,-2,-1,0,101,7,29,-2,-1,0,100,4,29,-1,-1,-1,-70,-16,76,-8,-2,-1,-69,-11,75,-7,-2,-1,-67,-12,73,-5,-2,-1,-64,15,77,-1,-5,2,-60,12,75,-1,-5,2,-64,8,76,0,-3,3,99,4,27,-2,-1,0,101,7,27,-2,-1,0,102,10,27,-1,-1,0,-65,-11,77,-8,-3,0,-64,-10,76,-9,-3,-1,-66,-11,77,-8,-3,-1,-64,5,82,-2,-3,1,-61,3,82,-2,-3,0,-59,6,81,-2,-3,1,102,4,28,-1,0,-1,100,4,31,0,0,0,99,6,30,-1,-1,0,-66,-14,78,-8,-3,-1,-68,-10,77,-7,-3,-1,-66,-14,77,-7,-4,0,-65,14,77,-1,-2,2,-65,12,79,-1,-3,1,-65,14,80,-1,-3,1,1
104,7,35,0,-1,0,103,8,32,-1,-1,0,100,9,30,-1,-1,0,-68,-18,74,-7,-3,0,-67,-16,75,-9,-3,0,-70,-16,72,-8,-3,-1,-67,9,79,-3,-4,1,-71,11,76,-3,-4,1,-72,12,77,-1,-4,1,100,3,29,-2,0,0,99,3,31,-1,0,-1,102,5,33,-1,0,-1,-64,-11,74,-7,-3,0,-62,-14,73,-8,-3,0,-65,-10,72,-9,-3,0,-69,10,80,-2,-3,1,-70,9,78,-1,-3,1,-69,7,79,-2,-3,2,102,8,34,-1,0,0,104,10,37,-2,0,0,101,8,38,-2,0,0,-66,-8,75,-8,-3,0,-66,-9,73,-8,-3,0,-72,-12,73,-8,-3,0,-69,11,75,-2,-2,2,-69,15,74,-2,-2,2,-66,14,77,-2,-3,2,100,6,33,0,0,0,103,3,33,0,-1,-1,101,5,35,-1,-2,-1,-66,-13,74,-7,-3,0,-66,-10,73,-7,-3,0,-66,-10,73,-8,-3,0,-66,7,81,-2,-3,3,-70,11,79,-2,-2,2,-72,9,78,-2,-2,2,1
